"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Spin Rate","Spin Axis"
"9i",,,"115.8","127.5","86.9","23.5","-7.2","61.0","-24.1","76.8","1.13","41.9","4865","-11.5"
"9i",,,"72.4","85.2","80.4","12.7","22.5","16.3","36.8","76.4","1.05","20.4","8902","45.6"
"9i",,,"128.6","138.6","93.9","24.2","-4.5","76.5","-17.6","78.5","1.20","45.8","5310","-6.2"
"9i",,,"139.5","148.1","101.8","21.7","-6.7","82.2","-26.8","80.7","1.26","46.6","6719","-7.9"
"9i",,,"144.1","152.4","104.1","23.1","-5.8","92.3","-25.4","81.4","1.28","48.8","6311","-7.6"
"9i",,,"138.4","146.3","101.2","22.6","-3.3","84.8","-9.0","83.1","1.22","47.4","6869","1.3"
"9i",,,"143.1","151.2","104.4","20.9","-6.5","83.0","-27.1","81.2","1.28","46.6","7028","-7.8"
"9i",,,"141.6","150.2","103.5","20.1","-6.1","77.3","-30.7","81.2","1.27","45.0","6745","-12.6"
"9i",,,"129.1","138.7","95.2","20.7","-1.1","66.3","-9.0","82.9","1.15","42.4","6166","-5.0"
"9i",,,"135.5","144.8","101.8","16.9","-2.7","60.4","-22.0","82.1","1.24","39.8","7368","-14.1"
"9i",,,"118.3","128.2","90.1","21.1","-5.8","57.1","-26.5","80.8","1.12","40.1","5750","-17.8"
"9i",,,"87.5","102.2","75.1","20.7","-3.1","32.5","-16.4","77.9","0.96","30.5","3428","-30.8"
"9i",,,"133.5","141.4","98.8","21.3","0.8","75.1","1.1","82.4","1.20","45.1","7333","1.5"
"9i",,,"147.7","156.3","106.3","21.8","-4.5","90.5","-26.9","82.6","1.29","48.0","6343","-11.1"
"9i",,,"124.7","135.2","92.5","21.6","-6.5","63.8","-26.1","82.7","1.12","41.9","5416","-12.5"
"9i",,,"126.8","136.8","96.9","16.6","-6.9","51.9","-29.0","80.7","1.20","37.0","6813","-14.3"
"9i",,,"150.8","158.3","109.0","22.6","-4.4","100.3","-20.8","84.6","1.29","50.2","6868","-5.4"
"9i",,,"147.4","155.3","107.1","22.4","-4.8","95.2","-21.2","84.6","1.27","49.3","7002","-5.4"
"9i",,,"137.6","145.7","100.5","24.0","-0.9","89.5","-1.9","84.3","1.19","48.8","6631","2.4"
"9i",,,"147.3","155.7","106.3","22.0","-5.4","92.0","-25.6","82.4","1.29","48.5","6592","-7.9"
"9i",,,"144.1","152.0","105.2","21.9","-8.2","88.6","-33.2","82.4","1.28","48.0","7013","-9.2"
"9i",,,"130.3","140.1","97.4","17.7","-7.8","58.3","-24.8","80.4","1.21","39.3","6721","-5.6"
"9i",,,"1.8","93.4","106.8","0.1","-6.5","0.0","-0.2","82.9","1.29","0.1","2706","-48.5"
"9i",,,"136.2","143.7","100.4","23.3","-2.9","86.0","-11.6","81.2","1.24","48.1","7242","-2.3"
"9i",,,"128.4","137.1","95.4","21.0","-6.9","68.0","-21.8","82.4","1.16","43.3","6731","-4.7"
"9i",,,"147.5","157.5","104.6","22.1","-2.4","88.8","-15.1","81.8","1.28","47.3","5594","-5.6"
"9i",,,"126.1","135.3","94.4","19.6","-4.8","60.9","-13.3","82.4","1.15","40.8","6711","-1.0"
"9i",,,"137.8","146.4","99.9","23.0","-2.5","84.0","-11.0","80.7","1.24","47.1","6167","-2.7"
"9i",,,"137.8","147.1","100.8","19.1","-5.6","69.6","-21.3","83.5","1.21","42.7","6614","-5.6"
"9i",,,"141.0","150.5","102.8","19.9","-6.0","74.6","-31.8","80.7","1.27","44.2","6369","-14.5"
"9i",,,"133.0","142.6","98.8","18.3","-2.8","62.2","-18.9","80.7","1.22","40.5","6629","-11.0"
"9i",,,"137.0","145.8","100.2","21.7","-2.8","77.7","-22.6","79.0","1.27","45.5","6349","-13.9"
"9i",,,"140.3","149.0","101.7","22.1","-5.2","83.6","-22.9","81.8","1.24","46.8","6380","-7.4"
"9i",,,"139.5","148.2","102.0","20.3","-5.0","75.8","-26.3","82.4","1.24","44.7","6697","-11.6"
"9i",,,"142.7","151.4","104.6","19.0","-5.8","74.3","-29.4","85.8","1.22","44.0","7027","-11.9"
"9i",,,"147.4","154.9","107.2","22.8","-6.8","96.5","-33.2","84.6","1.27","49.7","6806","-11.4"
"9i",,,"135.5","144.9","98.1","22.2","-0.6","77.5","-4.1","81.6","1.20","45.4","5884","-0.5"
"9i",,,"138.9","148.4","101.9","20.8","-9.7","74.4","-46.3","79.8","1.28","44.4","5913","-21.6"
"9i",,,"77.9","106.5","102.7","5.6","7.4","8.4","21.4","85.0","1.21","10.9","9077","49.1"
"9i",,,"71.8","87.8","92.3","7.3","13.5","9.5","26.1","79.8","1.16","12.7","8818","47.0"
"9i",,,"51.7","92.6","94.3","3.2","0.1","2.6","1.5","81.8","1.15","4.5","3189","25.4"
"9i",,,"48.5","94.9","96.7","2.8","-9.4","2.1","-10.6","78.5","1.23","3.7","2992","-25.9"
"9i",,,"125.7","134.3","93.9","21.2","-7.7","66.0","-24.7","80.7","1.16","42.8","6573","-6.9"
"9i",,,"133.4","142.4","98.6","21.0","-6.0","71.6","-30.9","80.1","1.23","44.0","6396","-15.9"
"9i",,,"142.7","150.8","103.8","22.7","-7.5","89.2","-34.4","81.8","1.27","48.3","6467","-12.5"
"9i",,,"135.0","143.4","100.5","20.0","-6.0","70.8","-30.8","80.8","1.24","43.7","7113","-15.1"
"9i",,,"141.3","150.1","102.7","23.0","-5.3","86.5","-33.8","80.1","1.28","47.7","6048","-17.7"
"9i",,,"146.1","154.3","105.6","23.0","-3.9","93.7","-27.1","81.8","1.29","49.0","6340","-13.0"
"9i",,,"147.9","156.3","107.0","22.0","-5.5","92.0","-33.2","83.4","1.28","48.5","6528","-14.3"
"9i",,,"112.8","125.3","86.4","20.8","-4.1","50.8","-19.1","80.7","1.07","37.6","4899","-14.6"
"9i",,,"105.4","118.9","80.7","22.5","0.1","46.4","-8.9","80.9","1.00","35.5","3351","-15.0"
"9i",,,"128.2","138.5","98.0","15.5","-7.5","49.3","-31.0","80.1","1.22","35.5","6460","-14.8"
