"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Spin Rate","Spin Axis"
"9i",,,"139.8","148.0","102.0","21.6","-3.5","81.9","-17.1","82.4","1.24","46.4","6807","-5.9"
"9i",,,"127.2","137.1","95.3","18.8","-4.4","58.0","-23.5","81.2","1.17","39.4","6127","-14.1"
"9i",,,"135.2","143.8","100.5","19.2","-6.0","68.4","-27.8","82.4","1.22","42.8","7173","-11.9"
"9i",,,"132.5","140.3","97.7","24.0","2.4","84.0","4.8","79.6","1.23","47.8","6805","1.4"
"9i",,,"127.7","138.1","95.5","17.4","-1.2","54.2","-9.5","77.4","1.24","37.6","6088","-5.6"
"9i",,,"130.4","138.3","97.7","21.5","-4.6","71.3","-28.0","80.1","1.22","44.4","7092","-17.0"
"9i",,,"140.5","149.1","103.0","19.5","-4.3","73.7","-26.2","81.2","1.27","44.0","6875","-12.9"
"9i",,,"133.7","143.0","97.4","23.6","-0.9","81.3","-11.3","78.5","1.24","46.8","5902","-7.2"
"9i",,,"133.4","143.2","97.8","22.6","-6.5","75.6","-33.7","78.5","1.25","45.2","5668","-18.1"
"9i",,,"134.8","143.3","99.2","20.1","-3.6","70.9","-13.3","81.2","1.22","43.5","6906","-2.6"
"9i",,,"123.1","131.5","92.1","22.6","2.3","68.2","5.7","79.6","1.16","43.9","6596","3.3"
"9i",,,"131.6","140.5","97.5","20.2","-7.8","68.0","-27.3","79.5","1.23","42.9","6722","-8.0"
"9i",,,"134.6","143.2","98.3","23.9","-3.4","83.9","-18.9","80.1","1.23","47.5","6118","-8.8"
"9i",,,"127.0","134.7","95.2","21.8","-2.0","70.2","-8.8","79.0","1.20","44.3","7463","-2.6"
"9i",,,"133.8","143.7","99.5","17.6","-3.6","60.5","-20.3","81.2","1.22","39.8","6679","-10.5"
"9i",,,"129.7","139.0","95.7","20.3","-2.0","65.9","-9.2","80.1","1.19","42.2","6365","-2.8"
"9i",,,"141.8","150.3","102.8","21.9","-2.2","84.9","-15.8","81.2","1.27","47.1","6555","-7.2"
"9i",,,"143.5","152.6","103.7","23.7","-0.7","93.7","-14.0","82.9","1.25","49.2","6228","-8.9"
"9i",,,"139.4","147.6","101.2","22.9","2.1","86.2","-3.0","80.7","1.25","47.6","6399","-5.5"
"9i",,,"133.3","141.3","97.9","22.7","0.1","78.7","-10.1","79.6","1.23","46.2","6585","-8.3"
"9i",,,"127.8","135.9","94.8","24.2","0.1","78.0","-11.8","75.1","1.26","46.7","6445","-11.2"
"9i",,,"136.0","144.4","100.0","22.2","-2.2","79.3","-21.3","79.6","1.26","46.2","6646","-14.0"
"9i",,,"136.4","143.7","100.4","22.8","3.7","84.0","1.3","78.5","1.28","47.5","7155","-5.0"
"9i",,,"129.1","137.1","96.6","20.9","2.3","68.6","-5.0","79.0","1.22","43.5","7344","-8.8"
"9i",,,"135.8","143.6","100.1","21.7","0.3","78.8","-7.1","80.1","1.25","46.0","7258","-5.6"
"9i",,,"135.0","144.7","99.3","21.0","-1.5","71.0","-25.3","79.0","1.26","43.5","5857","-20.9"
"9i",,,"142.7","151.1","103.6","22.5","-0.8","87.3","-19.8","80.1","1.29","47.7","6360","-14.2"
"9i",,,"139.7","148.0","101.7","22.6","0.3","84.6","-14.8","79.6","1.28","47.2","6428","-12.5"
"9i",,,"141.0","149.2","102.8","21.3","1.9","81.8","-6.3","80.1","1.28","46.3","6855","-8.0"
"9i",,,"139.3","148.0","102.2","21.1","-1.1","78.0","-22.1","78.8","1.30","45.4","6652","-16.7"
"9i",,,"130.8","139.0","97.7","21.1","2.2","69.9","-12.5","77.9","1.25","43.7","6905","-17.0"
"9i",,,"127.1","140.9","99.0","12.1","1.8","37.1","-5.1","79.0","1.25","28.7","5366","-9.1"
"9i",,,"125.7","134.4","93.7","21.2","-1.2","64.9","-14.3","78.5","1.19","42.4","6261","-11.4"
"9i",,,"80.0","111.9","94.8","6.1","-4.4","8.7","-15.9","75.7","1.25","10.4","4067","-32.9"
"9i",,,"121.5","135.6","94.0","14.6","0.4","40.2","-7.0","76.8","1.22","30.9","5168","-8.1"
"9i",,,"117.2","128.7","91.9","16.8","9.7","44.2","30.8","79.0","1.16","34.1","5751","19.5"
"9i",,,"136.9","145.5","99.6","23.0","-0.8","82.3","-15.5","77.4","1.29","46.8","6099","-11.3"
"9i",,,"119.0","134.0","90.9","16.7","8.6","43.6","22.5","75.2","1.21","32.9","4674","10.0"
"9i",,,"101.5","114.5","90.0","14.2","15.4","29.4","41.9","80.7","1.12","27.2","6207","35.5"
"9i",,,"130.3","140.7","95.3","22.9","-8.3","73.6","-30.0","76.5","1.25","44.7","5464","-10.4"
"9i",,,"127.2","136.6","94.1","21.5","7.1","66.8","21.3","79.0","1.19","42.8","5920","9.1"
"9i",,,"75.5","96.3","95.0","7.4","13.8","9.8","28.4","81.2","1.17","12.4","6246","50.3"
"9i",,,"68.4","83.6","88.1","8.2","16.8","9.8","28.3","76.8","1.15","13.5","8551","48.0"
"9i",,,"52.8","74.5","69.3","9.2","-14.0","8.1","-13.0","78.5","0.88","13.6","7427","4.8"
"9i",,,"33.2","95.9","91.7","2.3","9.6","1.2","7.2","76.2","1.20","3.1","6723","49.7"
"9i",,,"117.2","126.4","89.1","21.4","4.1","58.1","13.4","77.4","1.15","40.7","6140","9.6"
"9i",,,"97.3","106.8","81.2","20.6","10.5","41.0","29.4","77.9","1.04","35.4","6293","28.2"
"9i",,,"74.3","83.9","75.2","17.3","16.2","23.0","30.9","80.3","0.94","26.8","8667","45.0"
"9i",,,"128.2","137.5","94.8","22.1","1.7","69.2","13.6","80.7","1.17","43.6","5920","14.0"
"9i",,,"135.6","145.4","98.8","23.7","-6.8","82.0","-34.3","82.7","1.19","46.9","5556","-16.9"
"9i",,,"80.5","101.9","101.5","6.0","8.0","9.4","23.0","83.8","1.21","11.7","8578","47.5"
"9i",,,"133.3","142.4","97.1","23.8","-4.9","81.4","-19.7","80.7","1.20","46.8","5855","-6.5"
"9i",,,"134.0","143.4","97.7","25.0","-1.8","85.5","-20.3","79.0","1.24","48.0","5580","-14.6"
