"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"8i",,,"109.6","126.5","96.3","9.4","-1.6","23.0","6.3","77.9","1.24","21.3","-7.5","-3.7",0,"5484","19.7"
"8i",,,"136.2","144.6","100.7","19.7","2.8","70.8","15.2","79.0","1.27","43.4","-6.3","-0.8",0,"7097","10.7"
"8i",,,"142.5","153.8","102.1","18.2","-0.5","67.5","-1.6","81.2","1.26","41.1","-6.1","-0.1",0,"5564","1.7"
"8i",,,"106.8","119.3","85.4","16.9","-2.3","38.2","-6.9","81.2","1.05","31.8","-6.1","-3.4",0,"5365","-1.3"
"8i",,,"144.3","153.4","106.1","17.7","3.1","70.9","19.3","83.5","1.27","42.7","-9.6","-2.8",0,"7246","12.7"
"8i",,,"148.6","158.6","105.6","18.8","-3.1","77.0","-10.4","80.7","1.31","43.8","-6.2","-2.1",0,"5926","0.1"
"8i",,,"148.3","156.2","108.2","20.6","1.6","88.0","14.9","84.6","1.28","47.5","-7.1","-3.7",0,"7411","11.1"
"8i",,,"150.4","161.4","107.1","16.6","-2.8","69.1","-4.9","82.4","1.30","41.0","-7.7","-3.5",0,"5877","4.1"
"8i",,,"137.2","148.3","100.8","16.3","-3.0","57.4","-2.1","82.9","1.22","37.9","-7.0","-4.9",0,"5953","7.8"
"8i",,,"150.0","158.5","109.0","18.5","-2.9","81.2","-4.9","84.6","1.29","45.4","-9.2","-6.0",0,"7539","4.3"
"8i",,,"148.8","158.3","108.1","16.4","-3.4","70.1","-6.8","82.9","1.30","41.9","-8.7","-4.5",0,"7031","4.1"
"8i",,,"145.3","154.3","105.4","18.5","-3.1","75.0","-5.5","84.0","1.25","43.8","-7.7","-5.0",0,"6932","4.4"
"8i",,,"152.6","162.0","109.5","17.6","-1.7","78.3","-2.1","84.6","1.29","44.1","-8.2","-3.5",0,"6794","4.1"
"8i",,,"129.5","140.8","95.9","17.9","-4.1","55.9","-5.5","85.7","1.12","37.9","-6.3","-4.7",0,"5613","7.1"
"8i",,,"147.9","158.0","106.2","16.8","-4.8","69.4","-17.2","83.5","1.27","41.5","-6.7","-1.4",0,"6289","-2.3"
"8i",,,"158.8","168.6","112.9","17.1","-4.3","82.6","-11.0","85.1","1.33","44.8","-8.6","-5.4",0,"6663","2.8"
"8i",,,"143.4","152.6","104.1","18.6","-0.8","73.5","-1.5","83.5","1.25","43.5","-7.8","-1.8",0,"6827","2.7"
"8i",,,"148.5","158.0","105.6","20.4","0.9","83.7","5.9","84.0","1.26","45.9","-5.8","-0.3",0,"6007","5.2"
"8i",,,"146.4","156.1","104.7","18.9","-0.7","75.7","-3.3","82.4","1.27","43.7","-6.2","-0.7",0,"6171","1.0"
"8i",,,"146.8","154.5","106.9","22.1","2.9","92.9","17.2","82.4","1.30","48.8","-6.8","-1.0",0,"7066","10.3"
"8i",,,"133.6","146.4","98.2","16.4","-2.8","53.3","-7.7","82.4","1.19","36.1","-6.7","-2.4",0,"5232","1.4"
"8i",,,"71.0","92.0","88.2","7.4","14.1","9.4","25.2","81.8","1.08","12.6","-8.7","-2.7",0,"6651","40.3"
"8i",,,"151.0","160.6","108.2","18.1","-2.4","78.1","-1.1","82.4","1.31","44.2","-8.5","-5.6",0,"6569","6.6"
"8i",,,"135.8","145.0","101.8","18.1","3.5","63.7","24.9","83.5","1.22","41.0","-6.6","-3.5",0,"6972","20.0"
