"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"8i",,,"144.2","155.5","103.0","18.1","-3.8","68.8","-14.4","81.2","1.27","41.4","-6.3","-2.6",0,"5584","-2.6"
"8i",,,"134.3","148.9","97.3","16.7","-4.5","52.9","-13.0","81.2","1.20","35.4","-6.2","-3.4",0,"4612","-0.3"
"8i",,,"82.5","94.6","83.5","13.2","16.0","20.7","33.6","83.5","1.00","23.2","-9.7","-4.8",0,"9447","38.9"
"8i",,,"138.9","147.8","101.6","19.9","-3.2","74.0","-1.7","81.2","1.25","44.1","-7.6","-5.5",0,"6842","8.1"
"8i",,,"159.3","169.2","112.2","17.8","-8.2","84.5","-26.9","83.5","1.34","45.2","-7.6","-7.3",0,"6163","-1.2"
"8i",,,"133.8","145.2","97.3","18.7","-7.2","61.2","-23.9","80.7","1.21","39.5","-4.6","-2.9",0,"5182","-5.6"
"8i",,,"147.0","156.6","105.1","20.5","-2.4","83.5","-5.2","82.9","1.27","46.0","-6.0","-2.8",0,"6194","2.9"
"8i",,,"147.1","156.5","105.7","19.2","-2.7","78.6","-1.9","81.8","1.29","44.6","-7.8","-5.7",0,"6476","6.5"
"8i",,,"110.9","119.6","88.7","19.2","2.5","47.4","17.3","80.7","1.10","36.9","-6.6","-7.7",0,"7312","22.6"
"8i",,,"121.8","134.1","90.5","19.5","-5.2","53.5","-9.7","82.9","1.09","37.5","-3.7","-5.1",0,"4813","4.7"
"8i",,,"156.5","165.5","111.6","19.2","-3.2","90.2","-8.2","85.7","1.30","47.1","-7.7","-3.4",0,"6768","2.4"
"8i",,,"150.0","158.2","108.3","20.6","-1.2","89.3","3.0","85.1","1.27","47.5","-7.6","-4.2",0,"6977","7.3"
"8i",,,"147.4","156.3","106.2","20.3","-2.7","84.7","-2.8","84.6","1.26","46.4","-6.8","-5.2",0,"6696","5.7"
"8i",,,"152.6","161.7","109.8","17.5","-3.1","78.4","-5.8","84.6","1.30","44.2","-8.5","-5.2",0,"6969","3.9"
"8i",,,"145.1","155.4","105.9","15.0","-9.1","61.1","-26.8","82.1","1.29","38.9","-8.4","-5.5",0,"6545","-1.5"
"8i",,,"137.2","146.4","102.7","16.7","-1.7","60.8","7.2","82.9","1.24","39.7","-9.3","-5.2",0,"7318","13.9"
"8i",,,"145.5","153.5","105.9","20.2","-1.2","83.1","1.7","84.0","1.26","46.3","-7.9","-5.4",0,"7193","6.4"
"8i",,,"151.2","160.8","108.4","18.0","-3.4","78.5","-5.1","84.6","1.28","44.3","-8.4","-5.0",0,"6631","5.5"
"8i",,,"77.1","90.4","85.8","11.5","12.4","16.2","27.7","83.5","1.03","19.6","-9.1","-7.1",0,"10181","46.3"
"8i",,,"144.5","152.8","105.4","19.1","-3.3","76.9","-1.0","81.8","1.29","44.5","-8.7","-6.1",0,"7121","8.8"
"8i",,,"137.7","147.5","100.3","19.0","-3.0","67.6","-0.3","82.9","1.21","41.8","-7.5","-6.3",0,"6155","9.4"
"8i",,,"123.5","134.5","92.5","18.6","-5.3","53.7","-14.1","79.6","1.16","37.8","-5.9","-3.6",0,"5628","-0.8"
"8i",,,"145.8","154.0","106.3","19.0","-2.0","78.4","0.1","83.5","1.27","44.9","-8.2","-5.6",0,"7309","6.7"
"8i",,,"146.8","155.3","106.7","18.7","-4.1","77.5","-1.6","84.0","1.27","44.5","-8.2","-7.4",0,"7048","9.7"
"8i",,,"141.9","150.4","103.7","20.0","-2.6","77.1","3.4","84.0","1.23","44.9","-6.7","-7.0",0,"6929","11.4"
"8i",,,"133.6","141.6","100.4","18.6","-2.2","65.2","4.9","84.6","1.19","41.9","-8.4","-6.8",0,"7864","13.0"
"8i",,,"146.2","156.0","104.3","19.8","-4.3","78.7","-8.6","85.1","1.23","44.6","-4.9","-5.1",0,"5971","4.4"
"8i",,,"138.1","147.3","102.3","17.7","-2.8","65.4","1.8","84.0","1.22","41.3","-7.2","-4.0",0,"7169","10.8"
"8i",,,"148.1","156.4","106.7","21.0","-4.2","88.9","-7.5","84.6","1.26","47.5","-6.5","-5.3",0,"6760","4.9"
